mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.004401206970214844,0.00048823067656514194,0.006997871398925781,0.0006309775762857715,27,{'kneighborsclassifier__n_neighbors': 27},0.406383547008547,0.34375408123285883,0.3240825388533368,0.3797559966914806,0.422008547008547,0.37519694215895405,0.036840334899066,33,0.5400887014075122,0.44894978439282235,0.4360529821056137,0.499068341806547,0.5550295857988166,0.4958378791022623,0.047423531374217114,31
0.004999876022338867,0.0006309028097437657,0.007999706268310546,0.0006322599710569197,32,{'kneighborsclassifier__n_neighbors': 32},0.4081196581196581,0.3649764920987332,0.3109246441164947,0.3615936035290874,0.43162393162393164,0.37544766589758105,0.04168460812174046,32,0.5348531576719876,0.4768299394606495,0.41675087364742536,0.4696725571725571,0.568005035446896,0.49322231267990313,0.0529089118223252,32
0.004799652099609375,0.0003994948825843506,0.006999683380126953,6.289914111267528e-07,34,{'kneighborsclassifier__n_neighbors': 34},0.3888888888888889,0.3518185973618911,0.3755713726002351,0.3519782189137028,0.41773504273504275,0.37719842409995213,0.024749650780653026,31,0.5079502553852987,0.458991360257183,0.49361074101264973,0.45556064306064303,0.5460969871725021,0.4924419973776553,0.03346613027532047,33
0.00619964599609375,0.0023156917376097787,0.009401226043701172,0.005387805528388758,33,{'kneighborsclassifier__n_neighbors': 33},0.4081196581196581,0.34375408123285883,0.35137782421313835,0.3519782189137028,0.41773504273504275,0.3745929650428802,0.03158064051643331,34,0.5348531576719876,0.45112037109835684,0.4751086123179146,0.45556064306064303,0.5431340150293169,0.49195535983564387,0.03933283723016608,34
0.004800844192504883,0.00039985240674997655,0.006199359893798828,0.0009798626184736477,46,{'kneighborsclassifier__n_neighbors': 46},0.375,0.3518185973618911,0.3776936136868225,0.36004273504273504,0.40384615384615385,0.37368021998752055,0.017842333105707122,35,0.4811823045804515,0.46049855862164896,0.5066693450573799,0.4622933004376303,0.5189255189255189,0.4859138055245259,0.023438497306129496,35
0.004400205612182617,0.0004904091418675448,0.007399892807006836,0.0004892209025003975,35,{'kneighborsclassifier__n_neighbors': 35},0.3888888888888889,0.3518185973618911,0.36750685647120285,0.3519782189137028,0.40384615384615385,0.3728077430963679,0.020613097327791062,36,0.5079502553852987,0.458991360257183,0.4890463843272832,0.45409874585132304,0.5189255189255189,0.4858024529493214,0.025776522179276416,36
0.004198884963989258,0.00040037990828672033,0.007201004028320313,0.00039956937775474633,47,{'kneighborsclassifier__n_neighbors': 47},0.375,0.3518185973618911,0.36453571894998044,0.36004273504273504,0.40384615384615385,0.3710486410401521,0.018025719318428723,37,0.4811823045804515,0.46049855862164896,0.4872402977614521,0.4622933004376303,0.5189255189255189,0.4820279960653403,0.021176805067981707,37
0.004800081253051758,0.0004005435818715894,0.007200050354003906,0.000748315904404285,38,{'kneighborsclassifier__n_neighbors': 38},0.375,0.3518185973618911,0.3594423403421706,0.36004273504273504,0.40384615384615385,0.3700299653185901,0.018502607088433206,38,0.4811823045804515,0.458991360257183,0.4768611234081226,0.4622933004376303,0.5189255189255189,0.47965072152178123,0.021357558802258644,38
0.004799079895019531,0.0004000445054161015,0.007200860977172851,0.00039987754571134827,36,{'kneighborsclassifier__n_neighbors': 36},0.375,0.3518185973618911,0.36241347786339295,0.3615936035290874,0.3942307692307692,0.3690112895970281,0.014601566065696531,40,0.4811823045804515,0.458991360257183,0.4787381421996808,0.4696725571725571,0.5060410096735992,0.47892507477669427,0.01564203319309065,39
0.004199552536010742,0.00039968544644369526,0.007599925994873047,0.0012007477869878332,45,{'kneighborsclassifier__n_neighbors': 45},0.375,0.3518185973618911,0.36453571894998044,0.35042735042735046,0.40384615384615385,0.3691255641170752,0.01954609587711652,39,0.4811823045804515,0.46049855862164896,0.4872402977614521,0.4459445316588173,0.5189255189255189,0.47875824230957775,0.02490536933425528,40
